ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Motility
5511,H35,"DSM 18180, CIP 109091",1,Flaviramulus basaltis,GCA_900114265,0
17762,GS643,"DSM 18119, KCTC 12657, Gsoil 643, CIP 109741",1,Flavisolibacter ginsengisoli,GCA_900129295,0
166534,X7X,"KCTC 62326, CGMCC 16451",1,Flavisolibacter nicotianae,GCA_003628535,0
140505,LCS9,"KCTC 42070, JCM 19972",1,Flavisolibacter tropicus,GCA_001644645,0
140955,ECD14,"KCTC 52352, JCM 31797",1,Flavivirga eckloniae,GCA_002886045,0
24021,JJ013,"DSM 25663, JCM 18211, KACC 16594",1,Flavobacterium aciduliphilum,GCA_003268855,0
166415,SSM4.2,"KCTC 72807, MCCC 1K04370",1,Flavobacterium ajazii,GCA_010614725,1
24024,IK-1,"DSM 25510, ATCC BAA-2412, CIP 110358",1,Flavobacterium akiainvivens,GCA_001278115,0
159806,HYN0059,"KACC 19183, NBRC 112744",1,Flavobacterium album,GCA_003096035,0
158819,HR-AY,"KACC 19407, JCM 32264",1,Flavobacterium alvei,GCA_002920895,0
166172,LLJ-11,"BCRC 81124, LMG 30599, KCTC 62514",1,Flavobacterium amnicola,GCA_004122165,0
158535,KYPY10,"BCRC 81006, LMG 29727, KCTC 52443",1,Flavobacterium amniphilum,GCA_023634845,0
5570,D3,"DSM 22555, CGMCC 1.6859, KCTC 22128, JCM 14864, CIP 109938",1,Flavobacterium anhuiense,GCA_900101855,0
5557,AT1026,"DSM 19726, CIP 108750, IMSNU 14042, JCM 12383, KCTC 12222, KCTC 23290, KCTC 52532, LMG 25319",1,Flavobacterium antarcticum,GCA_000419685,0
133997,JC164,"KCTC 32196, CGMCC 1.12398, LMG 27251",1,Flavobacterium aquaticum,GCA_003259835,0
5517,"F 36, Taylor F36","DSM 1132, ATCC 11947, CIP 55.141, DSM 30095, NCIB 8694, CCUG 29304, NCIMB 8694, JCM 20475, CCEB 768, CIP 103744, IAM 12316, LMG 2952, LMG 4008, LMG 4427, NBRC 15052, NCMB 644, NCTC 9758, NRRL B-14834, VKM B-1173, IFO 15052",1,Flavobacterium aquatile,GCA_000757385,0
132986,TMd3a3,"DSM 100880, JCM 30987, BCRC 81042",1,Flavobacterium aquicola,GCA_003385115,0
5550,"WB1.1-56, 1.1-56","DSM 18293, CCUG 59847, CIP 109242, KCTC 22840, WB 1.1-56",1,Flavobacterium aquidurense,GCA_002217195,0
5585,LM-19-Fp,"DSM 24704, CCM 7939, CCUG 61031, LMG 26359",1,Flavobacterium araucananum,GCA_002222055,0
133125,SM1502,"KCTC 42668, CCTCC AB 2015346",1,Flavobacterium arcticum,GCA_003344925,0
158736,TH167,"CGMCC 1.15805, LMG 29719",1,Flavobacterium aurantiibacter,GCA_002251775,0
133598,F44-8,"CCTCC AB 209067, LMG 25233, MCCC 1A02877",1,Flavobacterium beibuense,GCA_000769915,0
136420,,"CIP 105534, ATCC 29585, LMG 1342, UASM B-2-25",0,Flavobacterium bizetiae,GCA_902804475,0
136421,,"CIP 105535, ATCC 29586, UASM E-1-25",0,Flavobacterium bizetiae,GCA_904424765,0
133522,LM5,"CGMCC 1.7031, NBRC 104239, CIP 110388",1,Flavobacterium caeni,GCA_900101895,0
139659,R2A-7,"CIP 110387, NBRC 104929, CGMCC 1.7270",1,Flavobacterium cauense,GCA_007830385,0
167772,AR-3-4,"KEMB 9005-740, KACC 21171, NBRC 113787",1,Flavobacterium cellulosilyticum,GCA_004349355,0
166270,1E403,"KCTC 62960, MCCC 1H00356",1,Flavobacterium cerinum,GCA_004028155,1
5572,NJ-26,"DSM 22462, CGMCC 1.6844, NBRC 103934, CIP 109891, KACC 14365",1,Flavobacterium cheniae,GCA_004363695,0
166438,,"KACC 19592, NBRC 113424, IMCC 34759",1,Flavobacterium cheongpyeongense,GCA_003202435,0
5586,LM-09-Fp,"DSM 24724, CCM 7940, LMG 26360, CCUG 61032",1,Flavobacterium chilense,GCA_001602525,0
133489,CJ7,"KACC 13353, JCM 15651, CCUG 58910, CIP 110025, LMG 26729",1,Flavobacterium chungangense,GCA_000735715,0
5582,CS100,"DSM 25688, JCM 17386, KACC 15048, CIP 110379",1,Flavobacterium chungbukense,GCA_020805785,0
5551,1-S-2cl (Anacker 1956),"DSM 18644, ATCC 23463, CIP 103531, JCM 21141, LMG 10406, LMG 13035, NBRC 100251, NCIMB 2248, IAM 14301, NCMB 1038",1,Flavobacterium columnare,GCA_002530675,0
139541,,"CIP 103533, ATCC 49512",0,Flavobacterium columnare,GCA_000240075,0
139662,PH 97028,"CIP 109753, JCM 21327, IAM 14821",0,Flavobacterium columnare,GCA_900290975,0
158765,PK15,"KCTC 52562, JCM 32115, CIP 111714",1,Flavobacterium commune,GCA_001857965,0
133395,LPB0076,"KACC 18706, JCM 31219",1,Flavobacterium crassostreae,GCA_001686945,0
5562,"EMB 47, EMB47","DSM 17960, CIP 109940, KCTC 12611",1,Flavobacterium croceum,GCA_002917885,0
159807,HYN0056,"KACC 19182, NBRC 112743",1,Flavobacterium crocinum,GCA_003122385,0
5565,R2A45-3,"DSM 18830, CIP 109888, KACC 11732",1,Flavobacterium cucumis,GCA_900148835,0
24023,E89,"DSM 25795, CIP 110384, LMG 26922",1,Flavobacterium cutihirudinis,GCA_003385895,0
158657,TH021,"LMG 29720, CGMCC 1.16325",1,Flavobacterium cyanobacteriorum,GCA_002251835,0
5546,GH1-10,"DSM 17708, CIP 109900, KACC 11422, CIP 110192",1,Flavobacterium daejeonense,GCA_000425425,0
162505,THG-DJ7,"JCM 19455, BCRC 81039, KACC 17651, CIP 111717",1,Flavobacterium daemonense,GCA_007341385,0
5587,"ARSA-19, ARSA-19(T)","DSM 25687, JCM 17065, KACC 14968, KCTC 23179",1,Flavobacterium dankookense,GCA_004362665,0
5567,EMB 117,"CCUG 59869, DSM 17963, CIP 109898, KCTC 12612",1,Flavobacterium defluvii,GCA_900129555,0
5539,ED5,"DSM 15936, ATCC BAA-842, CIP 109214",1,Flavobacterium denitrificans,GCA_000425445,0
133825,DK69,"CCTCC AB 2011144, KCTC 23775",1,Flavobacterium enshiense,GCA_000498495,0
5569,"EMB 34, EMB34","DSM 17961, KCTC 12610, CIP 109743",1,Flavobacterium filum,GCA_000425465,0
5513,A-34,"DSM 1076, ATCC 27944, IAM 14303, JCM 21143, ACAM 579, CCM 2740, CCUG 14832, CIP 104740, IFO 14960, LMG 8328, NBRC 14960, NCIMB 12056",1,Flavobacterium flevense,GCA_006539745,0
5579,H7,"DSM 19978, KACC 12818, CIP 110184",1,Flavobacterium fluvii,GCA_900129545,0
158613,CJ42,"KACC 19302, JCM 32085",1,Flavobacterium foetidum,GCA_004634245,0
24022,,"DSM 25660, JCM 18212, KACC 16593, MIC 3010",1,Flavobacterium fontis,GCA_900129405,0
5543,"NICMB 13737, A2i","DSM 17623, ATCC 700810, CIP 107124, NBRC 102676, NCIMB 13737",1,Flavobacterium frigidarium,GCA_000425505,0
5538,KUC-1,"DSM 15937, CCUG 59364, JCM 12218, CIP 109029",1,Flavobacterium frigidimaris,GCA_002217275,0
5537,R-9014,"DSM 15719, CIP 108385, LMG 21922",1,Flavobacterium frigoris,GCA_900111075,0
5541,,"DSM 16209, CIP 108325, LMG 22022",1,Flavobacterium fryxellicola,GCA_001637185,0
5532,R-8899,"DSM 15343, LMG 21477, CIP 108171",1,Flavobacterium gelidilacus,GCA_000422685,0
133319,EM1308,"KACC 18113, JCM 30144",1,Flavobacterium gilvum,GCA_000735535,0
134059,,"KCTC 23318, JCM 17336, DCY 54, BCRC 81040, CIP 110819",1,Flavobacterium ginsengisoli,GCA_029625315,0
161866,,"JCM 16720, CIP 110390, KACC 14525, KCTC 42980, THG 01",1,Flavobacterium ginsenosidimutans,GCA_003254625,0
5566,"0499, 499","DSM 19728, CGMCC 1.5380, JCM 13953, CCUG 60844, CIP 109489, BCRC 81081",1,Flavobacterium glaciei,GCA_003350545,0
133551,Gm-149,"ICMP 17618, NBRC 105008, CIP 110235",1,Flavobacterium glycines,GCA_001686935,0
140383,JM-222,"DSM 100397, CCM 8610, LMG 28821, CIP 111493, CIP 110906",1,Flavobacterium gossypii,GCA_014138495,0
5547,KW05,"DSM 17797, IAM 15099, JCM 21560, KCTC 12201, NBRC 102009, DSM 19729, CIP 108709",1,Flavobacterium granuli,GCA_003003155,0
5580,LQY-7,"DSM 22807, ACCC 05409, KCTC 23008, CIP 110398",1,Flavobacterium haoranii,GCA_009363055,0
5568,WB4.2-33,"DSM 18292, LMG 26768, CIP 109241, WB 4.2-33",1,Flavobacterium hercynium,GCA_002217285,0
5531,LCI,"DSM 12611, ACAM 376, ATCC 51468, CIP 105745",1,Flavobacterium hibernum,GCA_000832125,0
133360,THG-HG1.4,"KACC 18852, CCTCC AB 2016178",1,Flavobacterium hibisci,GCA_020026925,0
5512,N,"DSM 2063, ATCC 29551, CCUG 35201, NCIMB 2215, LMG 8385, Cy aq1, CIP 104741, Cy aq 1",1,Flavobacterium hydatis,GCA_000737695,0
166439,,"KACC 19591, NBRC 113423, IMCC 34758",1,Flavobacterium hydrophilum,GCA_003202405,0
5563,GPTSA100-9,"DSM 17447, CIP 109464, MTCC 6936, CCUG 58932",1,Flavobacterium indicum,GCA_000455605,0
5515,UW 101,"CCUG 35202, NCIMB 11054, LMG 1341, CFBP 3036, CIP 100931, JCM 8514, DSM 2064, ATCC 17061, IAM 14304, IFO 14942, NBRC 14942, NCIB 11054, Cy j3, MYX 1.1.1, BCRC 14874, GIFU 2500, LMG 1340, NCCB 96103, MYX 1.1.1.",1,Flavobacterium johnsoniae subsp. johnsoniae,GCA_000016645,0
158639,WV39,"KCTC 42908, CECT 9085",1,Flavobacterium kingsejongi,GCA_003076475,0
166500,LB2P30,"CGMCC 1.11271, NBRC 113059",1,Flavobacterium laiguense,GCA_003097655,0
158745,THG-AG6.4,"KACC 18851, CGMCC 1.16060",1,Flavobacterium limi,GCA_010645075,0
5535,ST-82,"DSM 15094, JCM 11473, CCUG 58906, LMG 21930, CIP 107957, KCTC 12494, NBRC 103156",1,Flavobacterium limicola,GCA_003634755,0
134073,JC2902,"KACC 16937, JCM 18661",1,Flavobacterium limnosediminis,GCA_000498535,0
5571,IP-10,"DSM 21886, CCM 7424, MTCC 8597, CIP 109890",1,Flavobacterium lindanitolerans,GCA_002846575,0
158743,,"KCTC 52572, NBRC 112527, IMCC 26026",1,Flavobacterium luteum,GCA_008806775,0
140887,HQQ,"CGMCC 1.15347, KCTC 42935",1,Flavobacterium lutivivi,GCA_014642275,0
167796,,"YIM 102600, CCTCC AB 201632, KCTC 52099",1,Flavobacterium macacae,GCA_003865365,0
159809,HYN0048,"KACC 19180, NBRC 112740",1,Flavobacterium magnum,GCA_003055625,0
133979,SW105,"CGMCC 1.10825, JCM 18132",1,Myroides aquimaris,GCA_900108395,0
164591,MaA-Y11,"JCM 33501, KACC 21225",1,Flavobacterium microcysteis,GCA_006385255,0
5544,R-9192,"DSM 17659, CIP 108161, LMG 21919, KCTC 2284",1,Flavobacterium micromati,GCA_900129585,0
164350,GS13,"JCM 32765, KCTC 62569",1,Flavobacterium nackdongense,GCA_004355225,0
133920,N1,"MTCC 11155, JCM 17678",1,Flavobacterium nitratireducens,GCA_029625335,0
131418,NXU-44,"DSM 29982, CIP 110894, LMG 28694",1,Flavobacterium nitrogenifigens,GCA_003254565,0
133902,R-HLS-17,"CGMCC 1.10076, NBRC 108844",1,Flavobacterium noncentrifugens,GCA_007992475,0
5555,ZF-8,"DSM 19742, AS 1.2747, JCM 11313, CGMCC 1.2747, CIP 108050, KCTC 12490",1,Flavobacterium omnivorum,GCA_900099915,0
159808,HYN0049,"KACC 19181, NBRC 112741",1,Flavobacterium pallidum,GCA_003097535,0
5528,81,"DSM 6368, ATCC 19366, IAM 14307, NCIB 9059, Dorey 81, Cy p1, JCM 8518, CIP 104742, IFO 15945, LMG 4031, LMG 8366, NBRC 15945, NCIMB 9059, VKM B-1171",1,Flavobacterium pectinovorum,GCA_002217365,0
5583,"BLN2, BLN_2","DSM 23314, CGMCC 1.10370, CIP 110404",1,Flavobacterium phragmitis,GCA_900112575,0
166492,ICH-30,"BCRC 81122, LMG 30579, KCTC 62513",1,Flavobacterium piscinae,GCA_004122145,0
136841,412-R09,"CIP 110846, CCUG 60099, CECT 7911",1,Flavobacterium piscis,GCA_001686925,0
5540,R-7582,"DSM 16141, CIP 108326, LMG 22018, KCTC 22843",1,Flavobacterium psychrolimnae,GCA_003312425,0
5529,3068,"DSM 3660, IAM 14308, NCMB 1947, JCM 8519, ATCC 49418, CCM 3594, CCUG 35200, CIP 103534, IFO 15942, LMG 13179, NBRC 100250, NBRC 15942, NCIMB 1947",1,Flavobacterium psychrophilum,GCA_002217405,0
159751,P3922,"LMG 30616, CCM 8827",1,Flavobacterium psychroterrae,GCA_018380615,0
168505,RB1R5,"NBRC 113060, CGMCC 1.23024",1,Flavobacterium psychrotolerans,GCA_003097635,0
140761,EA-12,"CGMCC 1.15345, NBRC 111769",1,Flavobacterium quisquiliarum,GCA_019308285,0
133758,FCS-5,"MTCC 10967, JCM 17928, CIP 110368",1,Flavobacterium rakeshii,GCA_009741375,0
166271,LB2P22,"CGMCC 1.11361, NBRC 113777",1,Flavobacterium ranwuense,GCA_004349315,0
5577,WB3.2-61,"DSM 21791, CIP 109866, WB 3.2-61",1,Flavobacterium reichenbachii,GCA_002217435,0
5573,BD-b365,"DSM 19382, CIP 109941, KCTC 22078, CCUG 59848",1,Flavobacterium resistens,GCA_009674815,0
5575,WB3.3-2,"DSM 21788, CIP 109865, CCUG 58934, WB 3.3-2",1,Flavobacterium rivuli,GCA_000378485,0
5516,024,"DSM 1811, IAM 14309, NCMB 2072, JCM 8520, ACAM 581, ATCC 49530, CIP 104743, IFO 15944, LMG 8384, NBRC 15944, NCIMB 2072",1,Flavobacterium saccharophilum,GCA_900142735,0
5558,S13,"DSM 21664, CGMCC 1.3801, JCM 13331, CCUG 60843, CIP 109164",1,Flavobacterium saliperosum,GCA_000498515,0
166720,"T13(2019), T13","CIP 111411, CCM 8798, LMG 30298",1,Flavobacterium salmonis,GCA_903819435,0
5574,"SS7, YC06274","DSM 21067, CIP 110183, KCTC 22246",1,Flavobacterium sasangense,GCA_000686885,0
158690,YSM-43,"KACC 19435, KCTC 62142, NBRC 113020",1,Flavobacterium sediminilitoris,GCA_023008245,0
159816,,"KCTC 62132, JCM 32291, MEBiC 07310",1,Flavobacterium sediminis,GCA_003148385,0
5561,AT1048,"DSM 19741, CIP 109332, IMSNU 14050, JCM 12385, KCTC 12224",1,Flavobacterium segetis,GCA_900129575,0
166201,RD-2-33,"KEMB 9005-742, KACC 21178, NBRC 113789",1,Flavobacterium silvisoli,GCA_004329815,0
133555,"0533, 533","CGMCC 1.8704, JCM 16398, CIP 110296",1,Flavobacterium sinopsychrotolerans,GCA_900110375,0
5559,DS-6,"DSM 19725, CIP 108840, KCTC 12542",1,Flavobacterium soli,GCA_000422705,0
5576,WB4.1-42,"DSM 21790, CIP 109867, WB 4.1-42",1,Flavobacterium subsaxonicum,GCA_000422725,0
5526,8,"DSM 4002, IAM 14311, IFO 14905, NBRC 14905, Cy su3, JCM 21151, BCRC 81041, CIP 104744, LMG 10402, NCIMB 2277, Cy su 3",1,Flavobacterium succinicans,GCA_000611675,0
166491,BBQ-12,"BCRC 81049, LMG 30051, KCTC 52809",1,Flavobacterium sufflavum,GCA_004016525,1
5545,"GH 29-5, GH29-5","DSM 17707, CIP 109901, KACC 11423",1,Flavobacterium suncheonense,GCA_000430025,0
5578,WB2.3-68,"DSM 21789, CIP 109868, WB 2.3-68",1,Flavobacterium swingsii,GCA_900111965,0
5554,,"DSM 22377, ACAM 602, LMG 21423, CCUG 58907, CIP 107447",1,Flavobacterium tegetincola,GCA_000425485,0
5564,R2A1-13,"DSM 18829, CIP 109887, KACC 11731",1,Flavobacterium terrae,GCA_900142035,0
5549,DS-20,"DSM 17934, CIP 109939, KCTC 12761",1,Flavobacterium terrigena,GCA_900108955,0
133486,"0563, 563","CGMCC 1.6847, JCM 15087, CIP 110391",1,Flavobacterium tiangeerense,GCA_007830355,0
166416,YH5,"CICC 24247, KCTC 62174",1,Flavobacterium tibetense,GCA_003293845,0
141070,GB 56.1,"TISTR 1612, KCTC 42679",1,Flavobacterium tistrianum,GCA_003254545,0
139428,435-08,"CIP 110845, CCUG 60100, CECT 7791",1,Flavobacterium tructae,GCA_002217475,0
141064,THG-DN8.8,"KCTC 42726, CCTCC AB 2015295",1,Flavobacterium tyrosinilyticum,GCA_023656565,0
133702,DS-12,"CCM 7847, MTCC 10766",1,Flavobacterium ummariense,GCA_900115115,0
133685,Sr25,"CGMCC 1.9230, NBRC 106480",1,Flavobacterium urumqiense,GCA_900108015,0
5560,AT1042,"DSM 19727, CIP 109334, IMSNU 14048, JCM 12384, KCTC 12223",1,Flavobacterium weaverense,GCA_003688495,0
5542,5-O-C,"DSM 3661, ACAM 81, IAM 12026, NCMB 2069, JCM 20358, IFO 14972, LMG 8372, NBRC 14972, NCIMB 2069, CIP 107448",1,Flavobacterium xanthum,GCA_900142695,0
5556,ZF-6,"DSM 19743, AS 1.2749, JCM 11314, CGMCC 1.2749, CIP 108285, KCTC 12491",1,Flavobacterium xinjiangense,GCA_900142885,0
133684,Sr22,"CGMCC 1.9227, NBRC 106479",1,Flavobacterium xueshanense,GCA_900112975,0
3790,"CR-63, Fx f1","DSM 6793, ATCC 23079, CIP 103988, CCUG 5119, IFO 15060, LMG 3990, NCIMB 12853, NCMB 1377",1,Flexibacter flexilis,GCA_900112255,0
140492,,"KCTC 39536, CGMCC 1.15085, YIM 7505, JCM 30628",1,Flexivirga endophytica,GCA_014640635,0
140254,R1,"DSM 105369, JCM 31060, KACC 18597",1,Flexivirga oryzae,GCA_014190805,0
158536,HibF3,"LMG 29831, JCM 31735",1,Floricoccus penangensis,GCA_001832885,0
158537,DF1,"LMG 29833, JCM 31733",1,Floricoccus tropicus,GCA_001832905,0
167730,SM1902,"KCTC 72045, MCCC 1K03596, CCTCC AB 2018346",1,Meridianimarinicoccus aquatilis,GCA_004358675,0
132964,4DR5,"DSM 105135, JCM 19370, KCTC 32475",1,Fluviicoccus keumensis,GCA_004217445,0
166121,MAH-3,"KACC 19742, CGMCC 1.13750",1,Fluviicola chungangensis,GCA_007558725,1
3249,RW262,"DSM 16823, NCIMB 13979",1,Fluviicola taffensis,GCA_000194605,0
164432,33A1-SZDP,"JCM 32978, DSM 107810",1,Fluviispira multicolorata,GCA_009208585,1
133644,,"DSM 21935, ACCC 10716, YIM D17",1,Fodinibius salinus,GCA_008124865,0
17736,,"DSM 19247, JCM 14718, HKI 0501",1,Fodinicola feengrottensis,GCA_010993775,0
14023,,"DSM 21160, CCTCC AA 208037, YIM D812",1,Fodinicurvata fenggangensis,GCA_000686045,0
14024,,"DSM 21159, KCTC 22351, YIM D82",1,Fodinicurvata sediminis,GCA_000420625,0
24294,P11-6,"DSM 28129, CECT 7605, CIP 110592, KCTC 13564",1,Fontibacillus panacisegetis,GCA_900102215,1
22969,BELH25,"DSM 24455, JCM 17559",1,Fonticella tunisiensis,GCA_004364155,0
23456,HA-01,"DSM 23609, CCUG 59713",1,Fontimonas thermophila,GCA_900113085,1
5588,M-2Alg 35-1,"DSM 15362, KCTC 12365, LMG 23005, KMM 3901, DSM 19837",1,Formosa agariphila,GCA_000723205,0
131144,,"DSM 16476, KMM 3553",1,Formosa algae,GCA_001439665,0
133320,AHQ-12,"BCRC 80690, LMG 27847, KCTC 32501, DSM 109231",1,Formosimonas limnophila,GCA_014652675,0
140267,AT2,"DSM 100451, CSUR P2014",1,Allofournierella massiliensis,GCA_004345265,0
141095,DL503,"LMG 29914, CGMCC 1.15944",1,Franconibacter daqui,GCA_014644275,1
4377,513/05,"DSM 18396, CCUG 54944, CIP 109630, LMG 23732, JCM 16470",1,Franconibacter helveticus,GCA_000463115,1
4380,601/05,"DSM 19144, LMG 24057, JCM 16471, CIP 110811",1,Franconibacter pulveris,GCA_000621185,1
158273,"DLB, Dho","DSM 106169, NCCB 100648",1,Frateuria defendens,GCA_001182895,1
17461,VA24,"DSM 26515, CGMCC 1.7053, NBRC 104236",1,Frateuria terrea,GCA_900109025,1
23457,SGP1,"DSM 25557, JCM 16858",1,Fretibacterium fastidiosum,GCA_000210715,1
7325,801,"DSM 10309, ATCC BAA-3, JCM 11265, KCTC 39911, CIP 107823, IAM 15122, NBRC 103066, VKM Ac-2505",1,Frigoribacterium faeni,GCA_007988805,1
166983,PL17,"CECT 9407, VKM B-3467",1,Frigoriglobus tundricola,GCA_013128195,1
7502,E1HC-02,"DSM 17894, JCM 13598, CIP 109654",1,Frondihabitans australicus,GCA_003634555,0
6696,F9-1,"DSM 22689, JCM 16035, NRIC 0771",1,Fructilactobacillus florum,GCA_001311215,0
6461,,"CCUG 32260, NCIMB 8039, JCM 1117, IFO 13954, DSM 20203, ATCC 8288, NCIB 8039, BCRC 14623, CECT 4785, CIP 103042, KCTC 3543, LMG 9201, NBRC 13954, NCFB 2167, NRIC 0973, NRRL B-1841, VTT E-91473, NCDO 2167",1,Fructilactobacillus fructivorans,GCA_000185465,1
6474,H42,"CCUG 32247, LMG 9478, IAM H42, CIP 103141, LMG 11720, DSM 20571, ATCC 15434, JCM 1199, BCRC 12938, CECT 4136, IFO 15887, JCM 7793, KCTC 3534, NBRC 15887, NCFB 2719, NCIMB 702719, NRIC 0974, NCDO 2719",0,Fructilactobacillus fructivorans,GCA_001436985,0
6519,L-12,"DSM 20451, ATCC 27651, NRRL B-3934, CCUG 30143, LMG 7946, JCM 5668, BCRC 14063, CIP 103252, KCTC 3205, LMG 16002, LMG 17498, NRIC 1548, NRRL: B-3934",1,Fructilactobacillus sanfranciscensis,GCA_001436035,0
6864,D-24,"DSM 19113, CCUG 49949, CIP 108761, LAB 1679, LMG 22556, JCM 17831, BCRC 81233, CECT 7089, NRIC 0663",1,Fructobacillus durionis,GCA_900112405,0
6862,FS-1,"DSM 13613, JCM 12225, LMG 21928, NRRL B-23447, BCRC 81231, CIP 107593",1,Fructobacillus ficulneus,GCA_001047075,0
6863,"LC-51, LC51","DSM 15468, CECT 5759, JCM 17832, BCRC 81234, CIP 109309, LMG 23899, NCIMB 14364, NRIC 0698",1,Fructobacillus pseudoficulneus,GCA_001047115,0
6865,F214-1,"DSM 23246, JCM 16675, BCRC 81232",1,Fructobacillus tropaeoli,GCA_001047135,0
5993,"Z-7100, Z7100","DSM 24880, VKM B-2667",1,Fuchsiella alkaliacetigena,GCA_023227765,1
528,,"DSM 15513, ATCC BAA-666, KCTC 12091, CCUG 52903, CIP 108376, HTCC 2506",1,Fulvimarina pelagi,GCA_001463845,0
133772,AK7,"MTCC 11053, JCM 17390",1,Fulvivirga imtechensis,GCA_000331535,0
134217,,"CCTCC AB 206119, KCTC 12832, KMM 6220, JCM 16186, NBRC 106557",1,Fulvivirga kasyanovii,GCA_009711405,1
141065,TM-6,"KCTC 42720, CECT 9024",1,Fulvivirga lutimaris,GCA_009711525,0
4148,B7-43,"DSM 16056, ATCC BAA-905",1,Fundidesulfovibrio putealis,GCA_000429325,1
6601,CS1,"CCUG 52239, ATCC BAA-822, DSM 15814, CIP 109910, JCM 16176, LMG 22972, VTT E-052790",1,Furfurilactobacillus rossiae,GCA_000277855,0
6662,"M1-212, MI-212","DSM 22696, CIP 109367, KCTC 3985, NBRC 101315, JCM 16155, NCIMB 14361",1,Furfurilactobacillus siliginis,GCA_001437435,0
18033,BELH1,"DSM 24436, JCM 17481",1,Fusibacter tunisiensis,GCA_016908355,1
5760,"Fievez 2358, Moore VPI 2891, 2358, 10145","CCUG 4948, DSM 21784, ATCC 25286, CCUG 9994, CIP 104559, DSM 19788, JCM 3718, VPI 2891, BCRC 10679, NCTC 13726",1,Fusobacterium necrophorum subsp. necrophorum,GCA_004006635,1
5762,LH 37,"CCUG 32879, DSM 19679, ATCC 51191, CIP 104879, JCM 11025, NCTC 12276",1,Fusobacterium animalis,GCA_000220825,0
5765,1612A,"DSM 15643, ATCC 25586, CCUG 32989, CIP 101130, JCM 8532, LMG 13131, VPI 4355, BCRC 10681, CCUG 33059, KCTC 2640",1,Fusobacterium nucleatum subsp. nucleatum,GCA_000007325,0
5775,EM48,"DSM 19507, ATCC 49256, CIP 104988, JCM 11023, CCUG 37843",1,Fusobacterium vincentii,GCA_000182945,0
5590,SMK-12,"DSM 17032, KCTC 12379, JCM 12931, IAM 15373, CIP 108967",1,Gaetbulibacter saemankumensis,GCA_000425645,0
160213,"JZ-R-35, JZ R-35","DSM 107699, LMG 30901",1,Galactobacter valiniphilus,GCA_003575975,0
133892,ck-I2-15,"CCTCC AB 209062, LMG 25228, MCCC 1A03044",1,Galbibacter marinus,GCA_000300875,0
134228,Mok-17,"NBRC 101624, CIP 109219",1,Galbibacter mesophilus,GCA_023721415,0
17912,CEE_131,"DSM 21945, CECT 7479",1,Gallaecimonas pentaromativorans,GCA_003751625,1
130813,3-C-1,"DSM 100312, CCTCC AB 209060, LMG 25226, MCCC 1A01354",1,Gallaecimonas xiamenensis,GCA_000299915,1
140312,RP51,"DSM 100235, CCM 8606, LMG 28778",1,Galliscardovia ingluviei,GCA_014635685,0
166227,SL3-2-4,"UICC B-83, NRRL B-67478, InaCC A981",1,Gandjariella thermophila,GCA_005405885,0
135327,AmMS 117,"CIP 103660, ATCC 49145",0,Gardnerella vaginalis,GCA_001913835,0
134131,IC158,"ACAM 1054, CIP 108531",1,Gelidibacter gilvus,GCA_004115975,0
5598,2SM29,"DSM 14095, ATCC BAA-813, CECT 5103, CCUG 47181, CIP 107655",1,Gelidibacter mesophilus,GCA_000423005,0
134132,IC162,"ACAM 1053, CIP 108532",1,Gelidibacter salicanalis,GCA_007997285,0
158276,RAM11,"DSM 29853, NCAIM B.02618",1,Gellertiella hungarica,GCA_014197145,1
18122,M60449/99/1,"DSM 15828, CCUG 42726, CIP 106481, ATCC BAA-287",1,Gemella cuniculi,GCA_000425665,0
138670,Neisseria haemolysans,"CIP 101126, ATCC 10379, NCTC 12968, CCUG 37985, DSM 107751, LMG 18984",1,Gemella haemolysans,GCA_000173915,0
18121,2917 B,"DSM 20572, ATCC 27824, JCM 12968, VPI 5424, CCUG 15561, CCUG 18164, CECT 991, CIP 81.10, LMG 18985, NCDO 2228, NCIMB 702228, NCTC 11323",1,Gemella morbillorum,GCA_900476045,0
135122,M663-98-1,"CIP 106318, CCUG 39489, ATCC BAA-58",1,Gemella palaticanis,GCA_013415235,0
162600,CC-PW-75,"JCM 19754, BCRC 80759",1,Gemmobacter aestuarii,GCA_004799285,0
133579,A1-9,"CGMCC 1.7029, NBRC 104254, DSM 108272",1,Gemmobacter aquaticus,GCA_007859075,1
13657,DCA-1,"DSM 21823, CGMCC 1.7745",1,Gemmobacter caeni,GCA_003054195,0
130603,119/4,"DSM 28642, CCM 8510, CIP 110795, LMG 28215",1,Falsigemmobacter intermedius,GCA_004054105,0
134036,Orc-4,"BCRC 80378, LMG 26667, KCTC 23714",1,Gemmobacter lanyuensis,GCA_014652355,0
164373,YJ-T1-11,"JCM 32828, KCTC 62715",1,Gemmobacter lutimaris,GCA_003570715,0
133682,Y12,"CCTCC AB 2010218, KCTC 23298",1,Gemmobacter nanjingensis,GCA_014652195,0
13655,,"DSM 15620, JCM 11959, NBRC 100046, AST 4, CGMCC 1.8899, CGMCC 1.8904",1,Gemmobacter nectariphilus,GCA_000429765,0
141098,CAM-8,"KACC 19224, JCM 31905",1,Gemmobacter straminiformis,GCA_014243445,0
133896,Ruye-53,"BCRC 80261, KCTC 23310",1,Gemmobacter tilapiae,GCA_014652215,0
